"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","tracking_id_ekart","bag_facility_source_name","shipment_facility_source_name","fact_updated_at","shipment_cpd"
"MotherHub_YKB","DumkaHub_DMK","ECONOMY","03:00:00","D-47516871346500462","FMPC3253979683","BulandshahrHub_BUR_PL","MotherHub_YKB","2023-11-23T13:54:19.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00","D-6651564790101305","FMPP2022106541","Jhilmil_DEL_PL","MotherHub_YKB","2023-11-23T05:32:18.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","CABTRajmahalaODH_RJL","ECONOMY","06:00:00","G-58738916069630834","FMPC3258510249","PanipatHub_PPT_PL","MotherHub_YKB","2023-11-23T11:36:14.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00","D-9777010608733013","FMPC3257983112","BurariHub_DEL_PL","MotherHub_YKB","2023-11-23T12:29:01.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00","F-75104247744917006","FMPC3258093854","ChanakyapuriHub_DEL_PL","MotherHub_YKB","2023-11-23T09:51:50.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","A-71203905881278076","FMPC3256085414","AligarhHub_ALG_PL","MotherHub_YKB","2023-11-23T03:24:52.000+05:30","2023-11-29T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_SIL","ECONOMY","00:00:00","B-36911291943471180","FMPP2021694221","BurariHub_DEL_PL","MotherHub_YKB","2023-11-23T07:40:53.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00","F-54931108960803943","FMPC3258348842","ShalimarGardenHub_DEL_PL","MotherHub_YKB","2023-11-23T08:32:15.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00","G-54898082221292463","FMPC3258528923","JasolaHub_DEL_PL","MotherHub_YKB","2023-11-23T13:09:57.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00","F-31368725186647331","FMPC3253746419","ChanakyapuriHub_DEL_PL","MotherHub_YKB","2023-11-23T12:15:07.000+05:30","2023-11-26T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00","E-29620966413677400","FMPP2016029231","AligarhHub_ALG_PL","MotherHub_YKB","2023-11-21T15:49:57.000+05:30","2023-11-24T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","C-67814265245338681","FMPC3253426619","YamunaViharHub_DEL_PL","MotherHub_YKB","2023-11-21T08:34:23.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","F-9741754668565719","FMPC3258737057","Firozabad_FZD_PL","MotherHub_YKB","2023-11-23T08:12:21.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_DEL","ECONOMY","12:30:00","B-47677329990324311","FMPC3257332635","WelcomeHub_DEL_PL","MotherHub_YKB","2023-11-23T12:43:14.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00","G-47689253840498339","FMPC3258792343","Pitampurahub_DEL_PL","MotherHub_YKB","2023-11-23T05:53:58.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","JhaldaHub_JAA","ECONOMY","03:00:00","C-64702240257807306","FMPC3258526708","Pitampurahub_DEL_PL","MotherHub_YKB","2023-11-23T06:23:44.000+05:30","2023-11-27T02:59:59.000+05:30"
