"id","time1","cv","bag_seal_id","cage_id"
"232","2023-11-20 19:01:30.557698","CV 1","EGAUGLG-660855915","42"
"233","2023-11-20 19:01:32.333061","CV 5","EDELSGR-660857887","12"
"235","2023-11-20 19:01:49.113410","CV 5","EPATBKR-1621745","19"
"236","2023-11-20 19:01:58.638986","CV 5","EVNEVNE-660823702","42"
"237","2023-11-20 19:02:03.580763","CV 1","EPATCAA-1501696","19"
"238","2023-11-20 19:02:12.255362","CV 5","EGAUMHL-1256318","13"
"239","2023-11-20 19:02:28.828065","CV 1","EIXBMGM-1492711","17"
"240","2023-11-20 19:02:34.782546","CV 1","ECCUADP-660842787","17"
"241","2023-11-20 19:02:40.270068","CV 1","ERDPBGP-1527042","17"
"242","2023-11-20 19:02:48.130226","CV 1","EIXBJRO-1399445","17"
"243","2023-11-20 19:03:02.089207","CV 1","ERAICHG-2452609-1289","18"
"244","2023-11-20 19:03:11.088983","CV 1","ERXLRXL-660720798","19"
"245","2023-11-20 19:03:32.912568","CV 1","EBOMCHB-660901988","15"
"246","2023-11-20 19:03:43.302646","CV 1","EBOMGHD-660904050","15"
"247","2023-11-20 19:03:49.950920","CV 5","EGAUPLS-1305744-1368","42"
"248","2023-11-20 19:03:50.932419","CV 1","ESZRSZR-660804633","13"
"250","2023-11-20 19:04:00.014142","CV 5","EBIHHJP-660895004","19"
"251","2023-11-20 19:04:20.687329","CV 1","SLC41349551-23","13"
"252","2023-11-20 19:04:23.739213","CV 5","EGAUPLS-1309655-1368","42"
"253","2023-11-20 19:04:37.678430","CV 5","EGAUBGG-660871941","17"
"254","2023-11-20 19:04:41.736238","CV 1","EDIBAAL-1396465","42"
"255","2023-11-20 19:04:49.816989","CV 5","EPATBTS-4840898-1366","19"
"256","2023-11-20 19:04:50.020958","CV 1","EDELDLX-1247725-1560","14"
"257","2023-11-20 19:04:58.471085","CV 1","EAJLLGT-1259267","13"
"258","2023-11-20 19:05:09.554106","CV 5","EPNQPNQ-663461836-1373","16"
"259","2023-11-20 19:05:09.768813","CV 1","ENBMBHI-660849936","15"
"260","2023-11-20 19:05:17.507781","CV 1","ENAGTMN-660903098","12"
"261","2023-11-20 19:05:22.455733","CV 5","EINDIDO-2003060-1333","14"
"262","2023-11-20 19:05:24.153747","CV 1","ENAGBIA-1391653","18"
"263","2023-11-20 19:05:34.154946","CV 5","EIXAAGT-1511783","13"
