"bag_facility_source_name","bag_facility_current_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","bag_status","fact_updated_at","_source","bag_xdock","fact_updated_at_1"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2020660025","PH-B5-DELYKB-30594007","OPENED","2023-11-22T07:35:00.000+05:30","BAG",false,"2023-11-22T07:35:00.000+05:30"
"SikandraNH2Hub_AGR_PL","Motherhub_GGN","MotherHub_YKB","ZO","FMPC3256823182","PH-ZO-DELYKB-30468468","REACHED","2023-11-22T13:11:58.000+05:30","BAG",true,"2023-11-22T13:11:58.000+05:30"
"PanipatHub_PPT_PL","MotherHub_YKB","MotherHub_YKB","B5","MYEC1004210856","PH-B5-DELYKB-30604089","OPENED","2023-11-21T17:24:17.000+05:30","BAG",false,"2023-11-21T17:24:17.000+05:30"
"Jhilmil_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3256486808","PH-B5-DELYKB-30549512","OPENED","2023-11-22T11:22:45.000+05:30","BAG",false,"2023-11-22T11:22:45.000+05:30"
"PaharganjHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3255226141","PH-B5-DELYKB-30609746","OPENED","2023-11-22T08:43:14.000+05:30","BAG",false,"2023-11-22T08:43:14.000+05:30"
"AgraHub_AGR_PL","Motherhub_GGN","MotherHub_YKB","ZO","FMPC3252524466","PH-ZO-DELYKB-30597932","REACHED","2023-11-21T23:38:26.000+05:30","BAG",true,"2023-11-21T23:38:26.000+05:30"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3256412794","PH-B5-DELYKB-30594001","OPENED","2023-11-22T11:36:35.000+05:30","BAG",false,"2023-11-22T11:36:35.000+05:30"
"Britania_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3256834279","PH-ZO-DELYKB-30667540","OPENED","2023-11-22T13:31:12.000+05:30","BAG",false,"2023-11-22T13:31:12.000+05:30"
"RohtakHub_ROH_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3253920818","PH-ZO-DELYKB-30332040","OPENED","2023-11-22T01:59:15.000+05:30","BAG",false,"2023-11-22T01:59:15.000+05:30"
"WelcomeHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2019911736","PH-B5-DELYKB-30033819","OPENED","2023-11-22T03:02:15.000+05:30","BAG",false,"2023-11-22T03:02:15.000+05:30"
