,hour_diff
9572,1
9587,1
9596,2
9598,1
9600,0
9624,1
9631,1
9644,1
9646,1
9650,2
9672,2
9692,0
9693,2
9694,1
9701,0
9702,214
9707,2
9709,2
9713,1
9718,3
9722,2
9727,1
9730,1
9757,1
9760,2
9763,3
9764,1
9772,0
9773,2
9777,1
9790,1
9801,2
9802,1
9803,1
9808,1
9816,214
9819,1
9845,1
9848,1
9863,240
9869,1
9885,2
9895,0
9907,2
9910,1
9916,2
9924,2
9933,0
9934,24
9938,1
9942,1
9946,0
9951,0
9955,1
9966,112
9973,1
9976,0
9986,0
9990,2
10000,49
10008,0
10010,1
10011,2
10012,3
10021,1
10041,1
10043,1
10045,112
10050,0
10051,1
10058,2
10061,2
10065,2
10081,1
10091,3
10097,0
10102,1
10123,1
10133,218
10134,18
10140,0
10141,2
10154,2
10156,1
10157,2
10159,1
10168,1
10171,1
10175,1
10176,1
10208,1
10210,1
10219,1
10222,0
10234,1
10236,1
10237,2
10246,2
10248,1
10252,1
10257,2
10261,37
10274,3
10292,1
10313,0
10316,1
10328,217
10331,1
10339,3
10343,2
10352,3
10359,3
10361,0
10369,1
10379,2
10384,0
10388,1
10391,1
10401,1
10407,3
10443,2
10445,1
10450,1
10451,1
10461,2
10462,1
10475,1
10477,10
10552,1
10574,1
10579,229
10669,0
10720,129
10748,0
10751,1
10758,0
10771,1
10774,3
10778,42
10889,3
10906,110
10968,1
10998,14
11004,15
11074,0
11126,1
11146,4
11147,1
11148,84
11157,0
11159,2
11163,2
11166,0
11167,4
11170,0
11173,42
11177,3
11179,4
11181,0
11188,120
11189,4
11194,0
11196,0
11199,0
11212,0
11217,2
11218,4
11220,4
11221,4
11225,2
11230,63
11238,73
11241,1
11247,4
11248,5
11249,4
11252,2
11256,4
11257,2
11266,4
11267,4
11269,4
11270,4
11271,4
11277,2
11281,0
11284,3
11290,5
11292,5
11297,121
11303,39
11306,4
11308,7
11310,5
11312,7
11313,3
11314,1
11315,5
11334,0
11335,4
11336,2
11337,4
11342,4
11343,0
11345,4
11348,0
11350,0
11351,0
11354,5
11363,4
11364,0
11365,5
11374,0
11377,4
11379,2
11390,0
11394,0
11399,5
11402,4
11406,4
11413,113
11417,2
11431,5
11432,5
11436,3
11439,5
11442,0
11445,1
11469,0
11518,15
11582,0
11588,0
11606,0
11632,0
11634,1
11640,1
11686,1
11780,0
11787,2
11789,0
11818,0
11822,0
11823,1
11868,1
11877,1
11924,1
11939,1
11941,64
11957,1
11973,146
11994,2
12017,0
12023,1
12041,0
12052,1
12082,0
12093,1
12100,1
12124,111
12174,1
12178,1
12190,1
12235,111
12259,1
12264,0
12289,0
12297,0
12323,0
12341,1
12352,2
12356,0
12358,2
12379,0
12414,182
12423,1
12443,2
12452,101
12475,1
12496,49
12503,0
12513,0
12578,136
12606,62
12608,111
12644,0
12708,1
12713,1
12731,1
12750,1
12755,98
12775,0
12780,1
12798,0
12804,1
12808,1
12905,0
12907,0
12910,0
12914,1
12927,1
12944,1
12978,0
12999,0
13000,0
13002,1
13010,1
13040,1
13065,137
13126,1
13147,1
13157,0
13190,0
13193,1
13209,14
13233,0
13234,0
13244,0
13479,1
13501,1
13519,1
13535,0
13572,1
13584,1
13590,96
13602,1
13611,2
13664,0
13690,0
13711,0
13726,2
13755,1
13777,100
13792,2
13814,0
13824,0
13829,0
13830,47
13832,1
13834,2
13844,240
13860,0
13876,0
13881,235
13882,1
13883,25
13905,1
13978,1
14010,64
14063,0
14080,3
14120,12
14233,0
14238,3
14245,0
14268,1
14389,1
14402,2
14406,24
14472,0
14507,0
14787,3
14793,4
14798,3
14799,4
14808,2
14811,4
14813,4
14814,4
14821,120
14833,3
14838,3
14851,3
14859,1
14872,86
14882,4
14890,4
14891,1
14902,2
14906,61
14913,2
14916,1
14920,3
14927,3
14930,4
14931,3
14932,192
14943,49
14944,3
14952,1
14958,0
14994,1
15016,62
15039,220
15048,1
15050,3
15067,0
15071,203
15081,3
15087,1
15092,0
15099,1
15113,2
15124,15
15137,2
15141,2
15156,26
15158,1
15160,1
15231,2
15234,0
15240,2
15241,2
15244,0
15246,0
15256,2
15262,0
15267,85
15268,3
15272,1
15278,231
15308,1
15314,1
15317,48
15319,17
15325,0
15339,1
15352,1
15389,0
15395,10
15397,182
15416,0
15428,0
15432,0
15434,1
15442,1
15443,0
15452,1
15453,0
15462,0
15472,0
15476,0
15478,0
15479,0
15480,0
15505,0
15509,0
15517,7
15529,0
15532,0
15539,0
15549,49
15556,15
15565,220
15568,0
15572,0
15577,116
15584,0
15587,0
15600,0
15604,0
15609,0
15620,1
15622,47
15625,2
15627,3
15632,1
15640,1
15654,3
15655,3
15668,138
15706,3
15712,0
15751,140
15752,1
15770,2
15790,1
15794,1
15806,1
15815,121
15869,1
15873,0
15880,63
15882,1
15886,2
15905,1
15909,1
15919,1
15961,1
15975,0
15977,192
15978,2
15985,1
16000,1
16013,48
16015,0
16020,1
16044,1
16057,1
16063,1
16068,0
16135,1
16154,0
16161,1
16162,1
16207,1
16214,235
16223,1
16225,0
16240,1
16241,0
16245,1
16252,1
16264,1
16269,1
16284,1
16285,1
16310,0
16319,1
16322,1
16333,1
16336,1
16338,1
16376,1
16377,1
16382,1
16387,1
16407,86
16416,1
16433,0
16506,1
16509,1
16519,1
16527,17
16549,1
16617,1
16636,67
16637,0
16652,0
16660,1
16664,1
16718,19
16734,1
16795,1
16827,1
16833,1
16844,0
16858,0
16867,1
16890,0
16898,0
16904,60
16925,66
16937,1
16962,1
16965,2
16999,0
17018,0
17021,0
17054,2
17059,1
17060,1
17064,1
17072,1
17077,120
17080,3
17081,1
17084,0
17090,4
17100,1
17127,2
17163,1
17178,1
17180,2
17197,2
17202,2
17210,40
17219,2
17256,2
17274,0
17294,1
17304,0
17314,1
17315,1
17322,3
17323,1
17325,1
17348,0
17361,1
17374,66
17394,1
17414,0
17438,2
17459,37
17483,2
17515,0
17535,22
17557,2
17564,15
17570,136
17589,0
17605,0
17609,3
17647,0
17668,44
17671,2
17673,2
17682,1
17684,51
17688,1
17697,3
17703,3
17729,0
17748,0
17772,1
17797,1
17818,2
17835,0
17841,2
17845,1
17856,2
