"shipment_facility_current_name","tracking_id_ekart","shipment_status","bag_type_ph","bag_id","shipment_facility_source_name","bag_facility_source_name","fact_updated_at","bag_facility_source_name_1"
"MotherHub_YKB","FMPP2021021091","sorted","B5","PH-B5-DELYKB-30654770","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:27:31.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3255926799","sorted","B5","PH-B5-DELYKB-30653333","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:33:37.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPP2020115144","sorted","B5","PH-B5-DELYKB-30655864","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:22:48.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPP2020618399","sorted","B5","PH-B5-DELYKB-30660546","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:32:47.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPP2020645859","sorted","B5","PH-B5-DELYKB-30660538","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:28:35.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3255927408","sorted","B5","PH-B5-DELYKB-30654785","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:29:52.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3256433468","sorted","B5","PH-B5-DELYKB-30653326","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:30:35.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3236839322","sorted","B5","PH-B5-DELYKB-30396804","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-17T16:11:29.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3256394250","sorted","B5","PH-B5-DELYKB-30660546","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:32:47.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3255395932","sorted","B5","PH-B5-DELYKB-30655864","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:22:48.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPP2020852556","sorted","B5","PH-B5-DELYKB-30652532","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:31:29.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3256273708","sorted","B5","PH-B5-DELYKB-30502520","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:31:13.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3255410848","sorted","B5","PH-B5-DELYKB-30379816","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:32:36.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPP2020905295","sorted","ZO","PH-ZO-DELYKB-30660272","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:16:45.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3255992864","sorted","B5","PH-B5-DELYKB-30659478","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:28:24.000+05:30","Peeragarhi_DEL_PL"
