"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","bag_id"
"MotherHub_YKB","MotherHub_BAM","REGULAR","23:00:00",5,4
"MotherHub_YKB","RaghunathganjODH_LGL","ECONOMY","05:00:00",1,1
"MotherHub_YKB","SirsaHub_SRS","REGULAR","19:00:00",41,9
"MotherHub_YKB","MotherHub_PUNE","ECONOMY","22:00:00",8,1
"MotherHub_YKB","sanpka 01","ECONOMY","18:00:00",6,2
"MotherHub_YKB","SimriHub_SHC","REGULAR","20:00:00",1,1
"MotherHub_YKB","CABTMadhubaniSplitODH_MBI","ECONOMY","20:00:00",5,1
"MotherHub_YKB","MotherHub_STV","REGULAR","15:00:00",10,2
"MotherHub_YKB","Motherhub_SAI_4","ECONOMY","21:00:00",12,8
"MotherHub_YKB","Motherhub_CUT","REGULAR","16:00:00",1,1
"MotherHub_YKB","ElasticRunKhargramODH_KND","ECONOMY","05:00:00",1,1
"MotherHub_YKB","SirsaHub_SRS","REGULAR","09:00:00",5,4
"MotherHub_YKB","Motherhub_GGN","REGULAR","18:00:00",2,1
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00",2,2
"MotherHub_YKB","ChanchalHub_CHC","ECONOMY","06:00:00",1,1
"MotherHub_YKB","MotherHub_IDO","REGULAR","05:30:00",24,4
"MotherHub_YKB","SaharanpurHub_SHP","REGULAR","09:00:00",2,1
"MotherHub_YKB","Farrukhnagar BTS Warehouse","ECONOMY","18:00:00",23,5
"MotherHub_YKB","DarbhangaHub_DBG","ECONOMY","20:00:00",4,2
"MotherHub_YKB","GangarampurHub_GRM","ECONOMY","06:00:00",1,1
"MotherHub_YKB","GroceryMH_DEL","REGULAR","18:00:00",7,7
"MotherHub_YKB","Motherhub_PLS","REGULAR","21:00:00",10,2
"MotherHub_YKB","SaharsaHub_SHC","ECONOMY","20:00:00",6,2
"MotherHub_YKB","BeldangaHub_BEB","REGULAR","05:00:00",2,1
"MotherHub_YKB","SirsaHub_SRS","EXPRESS","09:00:00",1,1
"MotherHub_YKB","AirportrdHub_HSS","REGULAR","18:00:00",8,2
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00",5,5
"MotherHub_YKB","BENIPURSplitHUB_BPA","ECONOMY","20:00:00",2,1
"MotherHub_YKB","MadhubaniHub_MBI","ECONOMY","20:00:00",8,2
"MotherHub_YKB","MadhepuraHub_DMH","REGULAR","20:00:00",2,2
"MotherHub_YKB","KhuntiHub_IXR","ECONOMY","02:00:00",1,1
"MotherHub_YKB","GroceryMH_BLR","REGULAR","08:00:00",1,1
"MotherHub_YKB","AirportrdHub_HSS","REGULAR","09:00:00",2,1
"MotherHub_YKB","CABTDarbhangaSplitODH_DBG","ECONOMY","20:00:00",1,1
"MotherHub_YKB","MadhepuraHub_DMH","ECONOMY","20:00:00",7,2
"MotherHub_YKB","IdentifyplusDarbhangaSplitODH_DBG","ECONOMY","20:00:00",3,1
"MotherHub_YKB","HissarHub_HSS","REGULAR","09:00:00",1,1
"MotherHub_YKB","MotherHub_DEL","REGULAR","19:00:00",2,2
"MotherHub_YKB","DebagramHub_DEB","REGULAR","05:00:00",1,1
"MotherHub_YKB","BethuadahariODH_BET","ECONOMY","05:00:00",1,1
"MotherHub_YKB","IdentifyPlusEllenabadODH_ELB","REGULAR","19:00:00",2,2
"MotherHub_YKB","Motherhub_GGN","ECONOMY","18:00:00",1,1
"MotherHub_YKB","JainagarHub_MDH","ECONOMY","20:00:00",1,1
"MotherHub_YKB","BalurghatHub_BLT","ECONOMY","06:00:00",1,1
"MotherHub_YKB","ManikchakHub_LDA","ECONOMY","06:00:00",2,1
"MotherHub_YKB","JhanjharpurHub_JJP","ECONOMY","20:00:00",1,1
"MotherHub_YKB","DomkolHub_MBB","ECONOMY","05:00:00",1,1
"MotherHub_YKB","AligarhHub_ALG","REGULAR","17:30:00",1,1
"MotherHub_YKB","JagtaiHub_NIL","ECONOMY","05:00:00",1,1
"MotherHub_YKB","ChakIslampurHub_MBB","ECONOMY","05:00:00",1,1
"MotherHub_YKB","MotherHub_YKB_Flex","REGULAR","10:30:00",1,1
"MotherHub_YKB","DarbhangaSplitHUB_DBG","ECONOMY","20:00:00",2,1
