"fact_updated_at","facility_current","facility_next","facility_destination","item_id","tms_cut_off","grid_name","suggested_time","suggested_ldap","item_type","pick_completed","Bag_Source","stag_status","pick_completed_time","Consg","part_of_grid_1"
"2023-11-17T02:33:30.780+05:30","MotherHub_YKB","Motherhub_PAT_BTS","LalganjHub_LLG","EPATLLG-1634792","20:00:00","19","2023-11-17T01:10:22.454+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:33:30.407+05:30","False",true
"2023-11-17T02:33:20.772+05:30","MotherHub_YKB","MotherHub_SIL","CABTCoochbeharODH_COB","EIXBCOB-1459608","00:00:00","17","2023-11-17T00:25:08.288+05:30","ca.2780362","BAG",true,"Source","Stagged","2023-11-17T02:33:19.349+05:30","False",true
"2023-11-17T02:33:20.767+05:30","MotherHub_YKB","Motherhub_PAT_BTS","BarauniHub_BJU","EBJUBJU-660869786","20:00:00","19","2023-11-17T01:15:17.790+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:33:18.386+05:30","False",true
"2023-11-17T02:33:16.142+05:30","MotherHub_YKB","Motherhub_GUW","Motherhub_GUW","EGAUGUW-3382076-1314","00:00:00","13","2023-11-17T01:36:28.343+05:30","ca.2787351","BAG",false,"Source","Stagged","2023-11-17T01:36:26.342+05:30","True",true
"2023-11-17T02:33:15.961+05:30","MotherHub_YKB","Motherhub_PAT_BTS","ChakiaHub_CAA","EPATCAA-1502646","20:00:00","19","2023-11-17T01:28:02.907+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:33:12.382+05:30","False",true
"2023-11-17T02:33:10.737+05:30","MotherHub_YKB","MotherHub_SIL","KishanganjHub_KNE","EGAMGAM-660848746","00:00:00","17","2023-11-17T00:21:19.094+05:30","ca.2780362","BAG",true,"Source","Stagged","2023-11-17T02:33:10.314+05:30","False",true
"2023-11-17T02:33:10.686+05:30","MotherHub_YKB","Motherhub_PAT_BTS","Motherhub_PAT_BTS","EPATBTS-4828181-1363","20:00:00","19","2023-11-17T01:18:57.198+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:33:06.369+05:30","False",true
"2023-11-17T02:33:05.795+05:30","MotherHub_YKB","MotherHub_SIL","DarjeelingHub_DAI","EDAIDJL-660852827","00:00:00","17","2023-11-17T00:18:57.811+05:30","ca.2780362","BAG",true,"Source","Stagged","2023-11-17T02:33:04.375+05:30","False",true
"2023-11-17T02:33:05.775+05:30","MotherHub_YKB","Motherhub_PAT_BTS","Motherhub_PAT_BTS","EPATBTS-4826292-1363","20:00:00","19","2023-11-17T01:33:05.796+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:33:03.391+05:30","False",true
"2023-11-17T02:33:02.058+05:30","MotherHub_YKB","MotherHub_SIL","MungerCityHub_MCT","EPATMCT-1718103","00:00:00","17","2023-11-17T00:23:43.504+05:30","ca.2787351","BAG",true,"Source","Stagged","2023-11-17T02:32:57.261+05:30","False",true
"2023-11-17T02:33:02.017+05:30","MotherHub_YKB","Motherhub_ULB","ChandannagarHub_CNR","ECCUCNR-660908943","16:00:00","25","2023-11-17T01:22:01.597+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:32:56.307+05:30","False",true
"2023-11-17T02:32:55.773+05:30","MotherHub_YKB","Motherhub_PAT_BTS","DanapurHub_DNR","EDELDNR-660803791","20:00:00","19","2023-11-17T01:16:22.919+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:32:51.305+05:30","False",true
"2023-11-17T02:32:55.769+05:30","MotherHub_YKB","Motherhub_PAT_BTS","GopalganjHub_GOG","EBIHGOG-660860696","20:00:00","19","2023-11-17T01:28:47.004+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:32:54.304+05:30","False",true
"2023-11-17T02:32:50.716+05:30","MotherHub_YKB","MotherHub_SIL","KokrajharHub_KOJ","EKOJKOJ-660853727","00:00:00","17","2023-11-17T00:22:36.745+05:30","ca.2787351","BAG",true,"Source","Stagged","2023-11-17T02:32:47.217+05:30","False",true
"2023-11-17T02:32:50.686+05:30","MotherHub_YKB","Motherhub_ULB","GoddaHub_GRA","EIXRGRA-660778604","16:00:00","25","2023-11-17T01:15:49.034+05:30","ca.2323922","BAG",true,"Source","Stagged","2023-11-17T02:32:50.309+05:30","False",true
"2023-11-17T02:32:45.813+05:30","MotherHub_YKB","MotherHub_SIL","PurniaHub_PRN","EBIHPRN-660906062","00:00:00","17","2023-11-17T00:23:59.122+05:30","ca.2787351","BAG",true,"Source","Stagged","2023-11-17T02:32:41.209+05:30","False",true
"2023-11-17T02:32:45.787+05:30","MotherHub_YKB","Motherhub_PAT_BTS","BihtaHub_PAT","EDELBIT-660883867","20:00:00","19","2023-11-17T01:26:02.332+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:32:45.236+05:30","False",true
"2023-11-17T02:32:45.787+05:30","MotherHub_YKB","Motherhub_ULB","Motherhub_ULB","ECCUULB-5961168-1525","16:00:00","25","2023-11-17T01:19:18.571+05:30","ca.2323922","BAG",true,"Source","Stagged","2023-11-17T02:32:45.306+05:30","False",true
"2023-11-17T02:32:40.894+05:30","MotherHub_YKB","Motherhub_ULB","DiamondHarbourHub_KOL","ECCUDDH-660874822","16:00:00","25","2023-11-17T01:24:01.315+05:30","ca.2323922","BAG",true,"Source","Stagged","2023-11-17T02:32:36.216+05:30","False",true
"2023-11-17T02:32:35.635+05:30","MotherHub_YKB","Motherhub_ULB","GariaHub_KOL","EKOLGAR-660993209","16:00:00","25","2023-11-17T01:23:52.441+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:32:31.235+05:30","False",true
"2023-11-17T02:32:25.696+05:30","MotherHub_YKB","MotherHub_SIL","MotherHub_SIL","EBAGSIL-2534223-1443","00:00:00","17","2023-11-17T00:27:16.022+05:30","ca.2780362","BAG",true,"Source","Stagged","2023-11-17T02:32:25.182+05:30","False",true
"2023-11-17T02:32:25.683+05:30","MotherHub_YKB","Motherhub_ULB","SingurHub_SIU","ECCUSIU-1707068","16:00:00","25","2023-11-17T01:24:27.563+05:30","ca.2323922","BAG",true,"Source","Not Stagged","2023-11-17T02:32:21.172+05:30","False",false
"2023-11-17T02:32:25.668+05:30","MotherHub_YKB","MotherHub_SIL","SultanganjHub_BGP","EPATBGP-357435","00:00:00","17","2023-11-17T00:33:18.349+05:30","ca.2787351","BAG",true,"Source","Not Stagged","2023-11-17T02:32:22.143+05:30","False",false
"2023-11-17T02:32:20.729+05:30","MotherHub_YKB","Motherhub_ULB","JaleswarHub_JER","EDMRDMR-660847623","16:00:00","25","2023-11-17T01:28:46.697+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:32:17.248+05:30","False",true
"2023-11-17T02:32:20.729+05:30","MotherHub_YKB","MotherHub_SIL","MotherHub_SIL","EBAGSIL-2535186-1443","00:00:00","17","2023-11-17T00:22:43.562+05:30","ca.2780362","BAG",true,"Source","Stagged","2023-11-17T02:32:17.169+05:30","False",true
"2023-11-17T02:32:15.800+05:30","MotherHub_YKB","Motherhub_ULB","GanganiHub_GNN","EGGIGGI-660726678","16:00:00","25","2023-11-17T01:27:56.526+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:32:13.164+05:30","False",true
"2023-11-17T02:32:01.453+05:30","MotherHub_YKB","Motherhub_ULB","CABTTarakeshwarODH_TAK","ECCUTAK-1415633","16:00:00","25","2023-11-17T01:24:47.428+05:30","ca.2323922","BAG",true,"Source","Stagged","2023-11-17T02:31:56.091+05:30","False",true
"2023-11-17T02:31:50.817+05:30","MotherHub_YKB","Motherhub_ULB","DaspurHub_DSP","EDSPDSP-660860830","16:00:00","25","2023-11-17T01:23:46.368+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:31:48.091+05:30","False",true
"2023-11-17T02:31:40.741+05:30","MotherHub_YKB","Motherhub_ULB","IndaHub_KGP","ECCUKXZ-296563","16:00:00","25","2023-11-17T01:28:54.304+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:31:39.096+05:30","False",true
"2023-11-17T02:31:35.811+05:30","MotherHub_YKB","Motherhub_ULB","Motherhub_ULB","ECCUULB-5956366-1523","16:00:00","25","2023-11-17T01:26:39.001+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:31:32.102+05:30","False",true
"2023-11-17T02:30:25.735+05:30","MotherHub_YKB","MotherHub_SIL","MotherHub_SIL","EBAGSIL-2536519-1443","00:00:00","17","2023-11-17T00:27:44.082+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:30:23.717+05:30","False",true
"2023-11-17T02:30:15.821+05:30","MotherHub_YKB","MotherHub_SIL","DarjeelingHub_DAI","EDAIDJL-660858799","00:00:00","17","2023-11-17T00:32:37.934+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:30:11.660+05:30","False",true
"2023-11-17T02:30:10.782+05:30","MotherHub_YKB","MotherHub_NAG_BTS","MotherHub_NAG_BTS","ENAGBTS-2472353-1361","00:00:00","12","2023-11-17T00:39:22.864+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:30:09.689+05:30","False",true
"2023-11-17T02:30:05.676+05:30","MotherHub_YKB","MotherHub_SIL","IslampurWBHub_IPR","ECCUIPR-660872796","00:00:00","17","2023-11-17T00:44:08.682+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:30:01.620+05:30","False",true
"2023-11-17T02:30:01.965+05:30","MotherHub_YKB","MotherHub_NAG_BTS","MotherHub_NAG_BTS","ENAGBTS-2478379-1361","00:00:00","12","2023-11-17T00:39:33.774+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:29:58.614+05:30","False",true
"2023-11-17T02:29:50.803+05:30","MotherHub_YKB","MotherHub_NAG_BTS","AkolaHub_AKD","EAKDAKD-660884054","00:00:00","12","2023-11-17T00:45:31.463+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:29:48.653+05:30","False",true
"2023-11-17T02:29:45.717+05:30","MotherHub_YKB","MotherHub_NAG_BTS","ChhindwaraHub_CHH","ECHHCHH-660858971","00:00:00","12","2023-11-17T00:45:33.581+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:29:42.537+05:30","False",true
"2023-11-17T02:29:40.723+05:30","MotherHub_YKB","MotherHub_SIL","MotherHub_SIL","EBAGSIL-2536164-1379","00:00:00","17","2023-11-17T00:49:24.218+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:29:40.545+05:30","False",true
"2023-11-17T02:29:30.780+05:30","MotherHub_YKB","MotherHub_SIL","BanmankhiHub_BNK","EIXBBNK-1231256","00:00:00","17","2023-11-17T00:48:45.539+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:29:30.549+05:30","False",true
"2023-11-17T02:29:30.746+05:30","MotherHub_YKB","MotherHub_NAG_BTS","ElasticRunMandlaODH_MDL","EJLRMDL-1411469","00:00:00","12","2023-11-17T00:59:38.898+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:29:29.499+05:30","False",true
"2023-11-17T02:29:15.773+05:30","MotherHub_YKB","MotherHub_SIL","MungerHub_JMP","EBIHJMP-660867753","00:00:00","17","2023-11-17T00:51:38.549+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:29:14.486+05:30","False",true
"2023-11-17T02:29:01.746+05:30","MotherHub_YKB","MotherHub_SIL","ShabdaMDH_KIR","EKIRRIK-432420","00:00:00","17","2023-11-17T00:51:42.486+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:28:58.386+05:30","False",true
"2023-11-17T02:28:55.752+05:30","MotherHub_YKB","MotherHub_SIL","RJSCJalpaiguriODH_JPG","EIXBJPR-1498632","00:00:00","17","2023-11-17T00:54:34.136+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:28:52.404+05:30","False",true
