"bag_facility_source_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","shipment_facility_current_name"
"BharatpurHub_BTP_PL","MotherHub_YKB","B5",15,6,"MotherHub_YKB"
"SirsaHub_SRS_PL","MotherHub_YKB","ZO",106,3,"MotherHub_YKB"
"GurgaonMilestoneHub_DEL_PL","MotherHub_YKB","B5",7,6,"MotherHub_YKB"
"BallabhgarhHub_Del_PL","MotherHub_YKB","ZO",95,28,"MotherHub_YKB"
"HaridwarHub_HRD_PL","MotherHub_YKB","B5",6,3,"MotherHub_YKB"
"PanipatHub_PPT_PL","MotherHub_YKB","ZO",37,22,"MotherHub_YKB"
"FatehabadHub_FHB_PL","MotherHub_YKB","ZO",97,9,"MotherHub_YKB"
"ChanakyapuriHub_DEL_PL","MotherHub_YKB","ZO",11,10,"MotherHub_YKB"
"HapurHub_HPU_PL","MotherHub_YKB","B5",8,5,"MotherHub_YKB"
"BijwasanHub_DEL_PL","MotherHub_YKB","ZO",19,17,"MotherHub_YKB"
"BulandshahrHub_BUR_PL","MotherHub_YKB","B5",20,1,"MotherHub_BNL"
"RohtakHub_ROH_PL","MotherHub_YKB","B5",8,6,"MotherHub_YKB"
"BijwasanHub_DEL_PL","MotherHub_YKB","B5",38,29,"MotherHub_YKB"
"BhiwadiHub_DHR_PL","MotherHub_YKB","ZO",9,2,"MotherHub_YKB"
"Rohinihub_DEL_PL","MotherHub_YKB","ZO",5,4,"MotherHub_YKB"
"Britania_DEL_PL","MotherHub_YKB","ZO",16,3,"Motherhub_GGN"
"NajafgarhHub_DEL_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"BahadurgarhHub_BHD_PL","MotherHub_YKB","ZO",6,5,"MotherHub_YKB"
"AlwarHub_ALW_PL","MotherHub_YKB","ZO",94,8,"MotherHub_YKB"
"HathrasHub_HTH_PL","MotherHub_YKB","ZO",23,3,"MotherHub_YKB"
"AgraHub_AGR_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"HaridwarHub_HRD_PL","MotherHub_YKB","ZO",68,3,"MotherHub_BNL"
"HissarHub_HSS_PL","MotherHub_YKB","ZO",6,5,"MotherHub_YKB"
"RoorkeeHub_HRD_PL","MotherHub_YKB","B5",23,3,"MotherHub_YKB"
"JhajjarHub_JJJ_PL","MotherHub_YKB","ZO",5,4,"MotherHub_YKB"
"DhampurHub_DHM_PL","MotherHub_YKB","ZO",46,1,"MotherHub_BNL"
"FatehabadHub_FHB_PL","MotherHub_YKB","B5",1,1,"MotherHub_BNL"
"AmrohaHub_AOA_PL","MotherHub_YKB","ZO",4,4,"MotherHub_YKB"
"BharatpurHub_BTP_PL","MotherHub_YKB","ZO",10,1,"MotherHub_BNL"
"YamunaNagarHub_YNR_PL","MotherHub_YKB","ZO",34,8,"MotherHub_YKB"
