,bag_facility_source_name,bag_facility_current_name,bag_facility_destination_name,bag_type_ph,tracking_id_ekart,bag_id,bag_status,fact_updated_at,_source,bag_xdock,fact_updated_at_1
470,SahibabadHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2013310353,PH-ZO-DELYKB-30474277,OPENED,2023-11-17T12:55:56.000+05:30,BAG,False,2023-11-17T12:55:56.000+05:30
476,NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243749016,PH-ZO-DELYKB-30465254,OPENED,2023-11-17T12:23:21.000+05:30,BAG,False,2023-11-17T12:23:21.000+05:30
478,MangolpuriHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241162126,PH-ZO-DELYKB-30141672,OPENED,2023-11-16T16:45:18.000+05:30,BAG,False,2023-11-16T16:45:18.000+05:30
481,RajnagarMP_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242744794,PH-ZO-DELYKB-30504484,OPENED,2023-11-17T14:47:04.000+05:30,BAG,False,2023-11-17T14:47:04.000+05:30
483,BudhViharHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240000746,PH-ZO-DELYKB-30505464,OPENED,2023-11-17T02:48:25.000+05:30,BAG,False,2023-11-17T02:48:25.000+05:30
487,MundkaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242095295,PH-ZO-DELYKB-30418712,OPENED,2023-11-16T08:52:21.000+05:30,BAG,False,2023-11-16T08:52:21.000+05:30
488,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3228366190,PH-ZO-DELYKB-30277439,OPENED,2023-11-17T11:08:36.000+05:30,SORTATION,False,2023-11-17T11:08:36.000+05:30
489,Motibaghhub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243890051,PH-ZO-DELYKB-30492891,OPENED,2023-11-17T10:52:34.000+05:30,BAG,False,2023-11-17T10:52:34.000+05:30
490,JasolaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243200537,PH-ZO-DELYKB-30496119,OPENED,2023-11-17T08:39:31.000+05:30,BAG,False,2023-11-17T08:39:31.000+05:30
491,SangamviharHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2004372887,PH-ZO-DELYKB-30497073,OPENED,2023-11-17T17:26:49.000+05:30,BAG,False,2023-11-17T17:26:49.000+05:30
494,Rohinihub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243744352,PH-ZO-DELYKB-30487456,OPENED,2023-11-17T14:25:30.000+05:30,BAG,False,2023-11-17T14:25:30.000+05:30
499,ShalimarGardenHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011061961,PH-ZO-DELYKB-30464028,OPENED,2023-11-16T15:05:02.000+05:30,BAG,False,2023-11-16T15:05:02.000+05:30
503,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3226006182,PH-ZO-DELYKB-30277439,OPENED,2023-11-17T11:08:01.000+05:30,SORTATION,False,2023-11-17T11:08:01.000+05:30
505,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3226003690,PH-ZO-DELYKB-30277439,OPENED,2023-11-17T11:07:18.000+05:30,SORTATION,False,2023-11-17T11:07:18.000+05:30
513,UttamNagarHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3237777287,PH-ZO-DELYKB-30453617,OPENED,2023-11-16T14:57:02.000+05:30,BAG,False,2023-11-16T14:57:02.000+05:30
517,PrahladPur_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240865012,PH-ZO-DELYKB-30464799,OPENED,2023-11-16T13:45:14.000+05:30,BAG,False,2023-11-16T13:45:14.000+05:30
522,Chhatarpur_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240942180,PH-ZO-DELYKB-30456164,OPENED,2023-11-16T15:04:23.000+05:30,BAG,False,2023-11-16T15:04:23.000+05:30
525,NajafgarhHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012965444,PH-ZO-DELYKB-30497059,OPENED,2023-11-17T00:25:23.000+05:30,BAG,False,2023-11-17T00:25:23.000+05:30
526,JasolaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240594481,PH-ZO-DELYKB-30463527,OPENED,2023-11-16T14:47:24.000+05:30,BAG,False,2023-11-16T14:47:24.000+05:30
527,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243960750,PH-ZO-DELYKB-30447814,OPENED,2023-11-17T15:58:36.000+05:30,BAG,False,2023-11-17T15:58:36.000+05:30
528,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3225998188,PH-ZO-DELYKB-30277439,OPENED,2023-11-17T11:06:20.000+05:30,SORTATION,False,2023-11-17T11:06:20.000+05:30
529,JasolaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241863239,PH-ZO-DELYKB-30452944,OPENED,2023-11-16T14:45:32.000+05:30,BAG,False,2023-11-16T14:45:32.000+05:30
533,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3239852503,PH-ZO-DELYKB-30393678,OPENED,2023-11-17T05:30:36.000+05:30,BAG,False,2023-11-17T05:30:36.000+05:30
534,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241368581,PH-ZO-DELYKB-30412723,OPENED,2023-11-16T15:04:04.000+05:30,BAG,False,2023-11-16T15:04:04.000+05:30
535,Ramaroadhub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3237757042,PH-ZO-DELYKB-30468236,OPENED,2023-11-16T15:51:36.000+05:30,BAG,False,2023-11-16T15:51:36.000+05:30
538,PrahladPur_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3244281435,PH-ZO-DELYKB-30458068,OPENED,2023-11-17T15:46:59.000+05:30,BAG,False,2023-11-17T15:46:59.000+05:30
540,DasnaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3239078227,PH-ZO-DELYKB-30458218,OPENED,2023-11-16T08:57:13.000+05:30,BAG,False,2023-11-16T08:57:13.000+05:30
541,NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243319765,PH-ZO-DELYKB-30493408,OPENED,2023-11-17T13:25:23.000+05:30,BAG,False,2023-11-17T13:25:23.000+05:30
544,WelcomeHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3237960805,PH-ZO-DELYKB-30423075,OPENED,2023-11-15T15:49:57.000+05:30,BAG,False,2023-11-15T15:49:57.000+05:30
548,FaridabadHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3244640725,PH-ZO-DELYKB-30500896,OPENED,2023-11-17T13:25:20.000+05:30,BAG,False,2023-11-17T13:25:20.000+05:30
551,SangamviharHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3244240390,PH-ZO-DELYKB-30495952,OPENED,2023-11-17T14:16:22.000+05:30,BAG,False,2023-11-17T14:16:22.000+05:30
553,SahibabadHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012641566,PH-ZO-DELYKB-30276473,OPENED,2023-11-17T13:37:10.000+05:30,BAG,False,2023-11-17T13:37:10.000+05:30
556,ShalimarGardenHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241096098,PH-ZO-DELYKB-30464028,OPENED,2023-11-16T15:05:02.000+05:30,BAG,False,2023-11-16T15:05:02.000+05:30
557,UttamNagarHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243850687,PH-ZO-DELYKB-30452875,OPENED,2023-11-17T03:50:30.000+05:30,BAG,False,2023-11-17T03:50:30.000+05:30
558,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243087408,PH-ZO-DELYKB-30492850,OPENED,2023-11-17T04:05:16.000+05:30,BAG,False,2023-11-17T04:05:16.000+05:30
561,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3226000683,PH-ZO-DELYKB-30277439,OPENED,2023-11-17T11:08:47.000+05:30,SORTATION,False,2023-11-17T11:08:47.000+05:30
567,RajnagarMP_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011159991,PH-ZO-DELYKB-30460859,OPENED,2023-11-16T03:36:57.000+05:30,BAG,False,2023-11-16T03:36:57.000+05:30
572,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3244020421,PH-ZO-DELYKB-30447671,OPENED,2023-11-17T07:34:43.000+05:30,BAG,False,2023-11-17T07:34:43.000+05:30
