"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","bag_id","tracking_id_ekart","bag_type_ph","bag_receive_time","fact_updated_at","bag_facility_source_name","shipment_facility_source_name","shipment_cpd"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","E-6821107207929538","EDELJKS-665016614","FMPP1996313234","","2023-11-26T12:53:28.000+05:30","2023-11-26T12:53:33.000+05:30","KwarsiHighwayHub_ALG","Motherhub_JKS","2023-11-10T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","E-69642448096174760","EGURJJH-2896667","FMPC3250190760","","2023-11-26T12:54:02.000+05:30","2023-11-26T12:54:07.000+05:30","KwarsiHighwayHub_ALG","Motherhub_JKS","2023-11-22T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_DEL","ECONOMY","18:00:00","F-12968358003269339","EGURJJH-2894738","FMPP2017879634","","2023-11-26T12:54:50.000+05:30","2023-11-26T12:54:58.000+05:30","KwarsiHighwayHub_ALG","Motherhub_JKS","2023-11-23T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","R-566564259","EGURJJH-2904013","FMPR0513617623","","2023-11-26T10:05:45.000+05:30","2023-11-26T10:05:51.000+05:30","SonepatHub_SOP","SonepatHub_SOP","1970-01-01T05:30:00.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","E-13210369937448091","EGURJJH-2901085","FMPC3257895143","","2023-11-26T10:15:26.000+05:30","2023-11-26T10:15:31.000+05:30","Murthal_MUR","Motherhub_JKS","2023-11-25T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","D-81521386896017256","EGURJJH-2901826","FMPC3258114863","","2023-11-26T10:06:59.000+05:30","2023-11-26T10:07:03.000+05:30","SonepatHub_SOP","Motherhub_JKS","2023-11-25T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","E-6571350047877508","EGURJJH-2894738","FMPC3259296674","","2023-11-26T12:54:50.000+05:30","2023-11-26T12:54:58.000+05:30","KwarsiHighwayHub_ALG","Motherhub_JKS","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ABD","REGULAR","23:00:00","R-564382655","EAMDADI-1496833","FMPR0511574654","","2023-11-26T07:36:54.000+05:30","2023-11-26T07:37:09.000+05:30","Motherhub_VNI","DildarNagarHub_GIR","1970-01-01T05:30:00.000+05:30"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00","G-12588863943546830","EAHDABD-2647844-1277","FMPC3241315947","","2023-11-26T08:23:02.000+05:30","2023-11-26T08:23:08.000+05:30","Motherhub_VNI","Motherhub_ABD","2023-11-24T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","R-566568552","EGURJJH-2900723","FMPR0513638327","","2023-11-26T10:06:46.000+05:30","2023-11-26T10:06:52.000+05:30","SonepatHub_SOP","SonepatHub_SOP","1970-01-01T05:30:00.000+05:30"
