"shipment_facility_current_name","tracking_id_ekart","bag_type_ph","bag_id","shipment_created_at","bag_facility_source_name","fact_updated_at","bag_status","bag_facility_source_name_1","shipment_facility_source_name_1"
"MotherHub_YKB","FMPP2027931745","ZO","PH-ZO-DELYKB-30784948","2023-11-26T15:21:47.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:33:29.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267339493","ZO","PH-ZO-DELYKB-30797579","2023-11-26T13:58:01.000+05:30","MathuraHub_MTH_PL","2023-11-27T16:33:01.000+05:30","OPENED","MathuraHub_MTH_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2026292619","B3","PH-B3-DELYKBF-4841879","2023-11-25T15:46:23.000+05:30","SaharanpurHub_SHP_PL","2023-11-27T04:49:06.000+05:30","REACHED","SaharanpurHub_SHP_PL","MotherHub_YKB_Flex"
"MotherHub_YKB","FMPC3264620253","B5","PH-B5-DELYKB-30766191","2023-11-24T21:07:22.000+05:30","YamunaViharHub_DEL_PL","2023-11-26T12:16:47.000+05:30","TERMINATED","YamunaViharHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027251688","ZO","PH-ZO-DELYKB-30765998","2023-11-26T11:03:40.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:40:09.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267375902","ZO","PH-ZO-DELYKB-30785103","2023-11-26T09:10:24.000+05:30","AligarhHub_ALG_PL","2023-11-27T19:21:32.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3258198749","ZO","PH-ZO-DELYKB-30619283","2023-11-22T09:34:24.000+05:30","GurgaonHub_DEL_PL","2023-11-23T02:20:00.000+05:30","OPENED","GurgaonHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2026195214","ZO","PH-ZO-DELYKB-30631697","2023-11-25T11:11:26.000+05:30","AmrohaHub_AOA_PL","2023-11-27T17:31:15.000+05:30","TERMINATED","AmrohaHub_AOA_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267950032","ZO","PH-ZO-DELYKB-30796749","2023-11-26T11:13:59.000+05:30","SaharanpurHub_SHP_PL","2023-11-27T19:26:06.000+05:30","TERMINATED","SaharanpurHub_SHP_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268597205","ZO","PH-ZO-DELYKB-29112354","2023-11-26T15:47:19.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:32:57.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3265071240","ZO","PH-ZO-DELYKB-29907176","2023-11-25T09:00:37.000+05:30","CABTJalandharOPH_JLR_PL","2023-11-27T19:10:31.000+05:30","TERMINATED","CABTJalandharOPH_JLR_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027612440","ZO","PH-ZO-DELYKB-30529486","2023-11-26T11:27:36.000+05:30","AligarhHub_ALG_PL","2023-11-27T17:30:50.000+05:30","OPENED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268459234","ZO","PH-ZO-DELYKB-30387975","2023-11-26T14:34:00.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:24:21.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268246870","ZO","PH-ZO-DELYKB-30434879","2023-11-26T12:54:54.000+05:30","RohtakHub_ROH_PL","2023-11-27T17:19:47.000+05:30","TERMINATED","RohtakHub_ROH_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267302338","ZO","PH-ZO-DELYKB-30333270","2023-11-26T08:42:45.000+05:30","RohtakHub_ROH_PL","2023-11-27T16:46:36.000+05:30","TERMINATED","RohtakHub_ROH_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027306969","ZO","PH-ZO-DELYKB-30768136","2023-11-26T09:29:28.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:31:03.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027579938","B3","PH-B3-DELYKBF-4832051","2023-11-26T11:26:34.000+05:30","MeerutHub_PL","2023-11-27T17:09:04.000+05:30","REACHED","MeerutHub_PL","MotherHub_YKB_Flex"
"MotherHub_YKB","FMPC3268235537","ZO","PH-ZO-DELYKB-30796749","2023-11-26T12:49:20.000+05:30","SaharanpurHub_SHP_PL","2023-11-27T19:26:06.000+05:30","TERMINATED","SaharanpurHub_SHP_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267955907","ZO","PH-ZO-DELYKB-30796991","2023-11-26T11:13:59.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:33:50.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267969204","ZO","PH-ZO-DELYKB-30785102","2023-11-26T11:15:04.000+05:30","AligarhHub_ALG_PL","2023-11-27T19:21:28.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
