"bag_facility_source_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","shipment_facility_current_name"
"AligarhHub_ALG_PL","MotherHub_YKB","ZO",8,6,"MotherHub_YKB"
"Chhatarpur_DEL_PL","MotherHub_YKB","B5",8,7,"MotherHub_YKB"
"KarolbaghHub_DEL_PL","MotherHub_YKB","B5",8,6,"MotherHub_YKB"
"YamunaViharHub_DEL_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"BadshahpurHub_DEL_PL","MotherHub_YKB","B5",4,4,"MotherHub_YKB"
"KanjhawalaHub_DEL_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"NehruPlaceHub_DEL_PL","MotherHub_YKB","ZO",2,2,"MotherHub_YKB"
"PanipatHub_PPT_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"BadshahpurHub_DEL_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"Alipur_DEL_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"MayurVihar_DEL_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"LadwaHub_LAD_PL","MotherHub_YKB","B5",2,1,"MotherHub_YKB"
"GurgaonMilestoneHub_DEL_PL","MotherHub_YKB","ZO",2,2,"MotherHub_YKB"
"BallabhgarhHub_Del_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"BawanaHub_DEL_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"KarnalHub_KAL_PL","MotherHub_YKB","ZO",2,2,"MotherHub_YKB"
"Peeragarhi_DEL_PL","MotherHub_YKB","B5",2,2,"MotherHub_YKB"
"RohtakHub_ROH_PL","MotherHub_YKB","ZO",11,8,"MotherHub_YKB"
"NehruPlaceHub_DEL_PL","MotherHub_YKB","B5",6,5,"MotherHub_YKB"
"HaridwarHub_HRD_PL","MotherHub_YKB","ZO",2,2,"MotherHub_YKB"
"AshokviharHub_DEL_PL","MotherHub_YKB","B5",8,6,"MotherHub_YKB"
"DasnaHub_DEL_PL","MotherHub_YKB","B5",5,5,"MotherHub_YKB"
"FatehabadHub_FHB_PL","MotherHub_YKB","ZO",5,5,"MotherHub_YKB"
"AligarhHub_ALG_PL","MotherHub_YKB","B5",5,3,"MotherHub_YKB"
"ShahdaraHub_DEL_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"ChanakyapuriHub_DEL_PL","MotherHub_YKB","ZO",2,2,"MotherHub_YKB"
"CanttHissarHub_HSS_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"MoradabadHub_MRD_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
