"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","tracking_id_ekart","bag_facility_source_name","shipment_facility_source_name","fact_updated_at","shipment_cpd"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00","E-55108864591693345","FMPC3266076151","MeerutHub_PL","MotherHub_YKB","2023-11-26T09:59:55.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","CABTJhariaODH_DBD","ECONOMY","03:00:00","F-59015120053148904","FMPC3264622035","Alipur_DEL_PL","MotherHub_YKB","2023-11-26T12:42:11.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","CABTMurshidabadODH_MBB","ECONOMY","05:00:00","F-68297222331763443","FMPC3261011842","BadshahpurHub_DEL_PL","MotherHub_YKB","2023-11-26T07:54:08.000+05:30","2023-11-29T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_IDO","ECONOMY","05:30:00","C-81662029087865700","FMPC3264415664","AshokviharHub_DEL_PL","MotherHub_YKB","2023-11-26T08:54:30.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_RAC","ECONOMY","17:00:00","E-71346355101561937","FMPC3265784812","NarelaHub_DEL_PL","MotherHub_YKB","2023-11-26T01:49:19.000+05:30","2023-12-02T02:59:59.000+05:30"
"MotherHub_YKB","ChanchalHub_CHC","ECONOMY","06:00:00","E-75419859604513099","FMPC3265897381","Motibaghhub_DEL_PL","MotherHub_YKB","2023-11-26T08:49:21.000+05:30","2023-12-02T02:59:59.000+05:30"
"MotherHub_YKB","SindrisplitODH_DBD","ECONOMY","03:00:00","F-27304191102979841","FMPC3265718276","MundkaHub_DEL_PL","MotherHub_YKB","2023-11-26T10:11:27.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","AndalHub_DGP","ECONOMY","03:00:00","B-6837434750066099","FMPP2026094903","Alipur_DEL_PL","MotherHub_YKB","2023-11-26T09:10:25.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00","C-26764561628198208","FMPC3264942482","MeerutHub_PL","MotherHub_YKB","2023-11-26T13:45:45.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","B-71527305093673174","FMPC3263758178","ShalimarGardenHub_DEL_PL","MotherHub_YKB","2023-11-25T09:47:52.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_IDO","ECONOMY","05:30:00","H-81738187059763735","FMPC3265368996","MundkaHub_DEL_PL","MotherHub_YKB","2023-11-26T10:49:18.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00","C-6867253276071596","FMPP2026091062","MeerutHub_PL","MotherHub_YKB","2023-11-26T13:19:27.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","JamtaraHub_JMT","ECONOMY","03:00:00","A-9915752794267906","FMPC3263036741","CABTJalandharOPH_JLR_PL","MotherHub_YKB","2023-11-26T12:52:46.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00","C-8478021947042010","FMPC3263715155","CABTJalandharOPH_JLR_PL","MotherHub_YKB","2023-11-26T12:58:46.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","BeldangaHub_BEB","ECONOMY","05:00:00","D-71396422634100227","FMPP2023433178","PaharganjHub_DEL_PL","MotherHub_YKB","2023-11-26T10:25:21.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_IDO","ECONOMY","05:30:00","F-71533082035617294","FMPC3265498134","Firozabad_FZD_PL","MotherHub_YKB","2023-11-26T12:39:17.000+05:30","2023-12-02T02:59:59.000+05:30"
"MotherHub_YKB","CABTMurshidabadODH_MBB","ECONOMY","05:00:00","F-73277266917226993","FMPP2025586093","Phase3NoidaHub_DEL_PL","MotherHub_YKB","2023-11-26T10:24:09.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00","G-30127325066516900","FMPC3263142734","CABTJalandharOPH_JLR_PL","MotherHub_YKB","2023-11-26T11:18:41.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_IDO","ECONOMY","05:30:00","1577230594","MYEP1007203986","GurgaonHub_DEL_PL","MotherHub_YKB","2023-11-26T08:58:53.000+05:30","2023-11-26T08:30:00.000+05:30"
"MotherHub_YKB","Motherhub_GUW","ECONOMY","00:00:00","A-26789382152089288","FMPC3265977375","Jhilmil_DEL_PL","MotherHub_YKB","2023-11-26T10:12:51.000+05:30","2023-12-02T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00","E-75360524640819864","FMPP2026438605","MeerutHub_PL","MotherHub_YKB","2023-11-26T09:57:49.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","A-27353553909499203","FMPC3266188919","Pitampurahub_DEL_PL","MotherHub_YKB","2023-11-25T23:36:35.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_IDO","ECONOMY","05:30:00","E-55113435407529159","FMPC3265851509","Firozabad_FZD_PL","MotherHub_YKB","2023-11-26T12:55:51.000+05:30","2023-12-03T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_SIL","ECONOMY","00:00:00","A-71264954296430257","FMPC3260407352","AmrohaHub_AOA_PL","MotherHub_YKB","2023-11-25T18:52:50.000+05:30","2023-12-02T02:59:59.000+05:30"
