"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant"
"MotherHub_YKB","PorbandarHub_POR","ECONOMY","16:00:00",5
"MotherHub_YKB","JamnagarHub_QGR","ECONOMY","16:00:00",11
"MotherHub_YKB","DomkolHub_MBB","ECONOMY","05:00:00",13
"MotherHub_YKB","MuzaffarpurHub_MZF","ECONOMY","19:00:00",9
"MotherHub_YKB","KhatraHub_KHT","ECONOMY","04:30:00",11
"MotherHub_YKB","MithanpuraHub_MZF","ECONOMY","19:00:00",7
"MotherHub_YKB","Motherhub_ULB","ECONOMY","04:30:00",1
"MotherHub_YKB","BethuadahariODH_BET","ECONOMY","05:00:00",6
"MotherHub_YKB","ElasticRunKeshodODH_KSD","ECONOMY","16:00:00",4
"MotherHub_YKB","Motherhub_PAT_BTS","REGULAR","20:00:00",5
"MotherHub_YKB","RaghopurHub_SHC","ECONOMY","20:00:00",3
"MotherHub_YKB","CABTNarayanpurODH_LDA","REGULAR","06:00:00",1
"MotherHub_YKB","SheoharHub_SMI","ECONOMY","19:00:00",3
"MotherHub_YKB","MotherHub_SIL","REGULAR","00:00:00",6
"MotherHub_YKB","CABTMadhubaniSplitODH_MBI","ECONOMY","20:00:00",3
"MotherHub_YKB","AnnapurnaAsansolSplitODH_ASN","ECONOMY","03:00:00",13
"MotherHub_YKB","Motherhub_JKS","REGULAR","23:00:00",1
"MotherHub_YKB","Motherhub_GUW","REGULAR","00:00:00",1
"MotherHub_YKB","RajkotVavadiHUb_VAV","ECONOMY","16:00:00",11
"MotherHub_YKB","Motherhub_ABD","REGULAR","23:00:00",4
"MotherHub_YKB","BalurghatHub_BLT","ECONOMY","06:00:00",6
"MotherHub_YKB","SonamukhiHub_VSU","ECONOMY","04:30:00",15
"MotherHub_YKB","JARMUNDIHUB_JMD","ECONOMY","03:00:00",4
"MotherHub_YKB","PupriHub_JNR","ECONOMY","19:00:00",6
"MotherHub_YKB","JaintpurHub_MZF","ECONOMY","19:00:00",3
"MotherHub_YKB","BarjoraHub_DGP","REGULAR","03:00:00",1
