"bag_facility_source_name","bag_facility_current_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","bag_status","fact_updated_at","_source","bag_xdock","fact_updated_at_1"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3266781863","PH-ZO-DELYKB-30772204","OPENED","2023-11-28T09:46:45.000+05:30","NBU",false,"2023-11-28T09:46:45.000+05:30"
"BadshahpurHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3270115224","PH-B5-DELYKB-30791975","OPENED","2023-11-28T11:05:41.000+05:30","NBU",false,"2023-11-28T11:05:41.000+05:30"
"BudhViharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3269751690","PH-B5-DELYKB-30823531","OPENED","2023-11-28T06:04:02.000+05:30","NBU",false,"2023-11-28T06:04:02.000+05:30"
"UttamNagarHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3270537093","PH-B5-DELYKB-30245168","OPENED","2023-11-28T12:09:14.000+05:30","BAG",false,"2023-11-28T12:09:14.000+05:30"
"YamunaViharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3266831540","PH-B5-DELYKB-30649803","OPENED","2023-11-27T09:08:54.000+05:30","BAG",false,"2023-11-27T09:08:54.000+05:30"
"BilaspurHub_DRH_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3270872154","PH-ZO-DELYKB-30713564","OPENED","2023-11-28T11:55:21.000+05:30","NBU",false,"2023-11-28T11:55:21.000+05:30"
"ShalimarGardenHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268017676","PH-ZO-DELYKB-30775817","OPENED","2023-11-27T10:01:07.000+05:30","BAG",false,"2023-11-27T10:01:07.000+05:30"
"BadshahpurHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2028294079","PH-ZO-DELYKB-30809803","OPENED","2023-11-28T09:13:16.000+05:30","BAG",false,"2023-11-28T09:13:16.000+05:30"
"NoidaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268985904","PH-ZO-DELYKB-30787445","OPENED","2023-11-28T09:14:26.000+05:30","NBU",false,"2023-11-28T09:14:26.000+05:30"
"Motibaghhub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2027317589","PH-ZO-DELYKB-30786237","OPENED","2023-11-27T00:27:10.000+05:30","BAG",false,"2023-11-27T00:27:10.000+05:30"
"Jhilmil_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3266859224","PH-ZO-DELYKB-30803634","OPENED","2023-11-28T12:44:03.000+05:30","BAG",false,"2023-11-28T12:44:03.000+05:30"
"RohtakHub_ROH_PL","MotherHub_YKB","MotherHub_YKB","B5","MYEP1007360653","PH-B5-DELYKB-30772166","OPENED","2023-11-26T17:53:54.000+05:30","BAG",false,"2023-11-26T17:53:54.000+05:30"
"BudhViharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268767277","PH-ZO-DELYKB-30819010","OPENED","2023-11-28T07:48:42.000+05:30","NBU",false,"2023-11-28T07:48:42.000+05:30"
"BawanaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3270468325","PH-B5-DELYKB-30395546","OPENED","2023-11-28T06:02:13.000+05:30","NBU",false,"2023-11-28T06:02:13.000+05:30"
"Ramaroadhub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3265696712","PH-B5-DELYKB-30801794","OPENED","2023-11-28T07:27:19.000+05:30","BAG",false,"2023-11-28T07:27:19.000+05:30"
"RanibaghHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3267286283","PH-B5-DELYKB-30782725","OPENED","2023-11-27T09:08:10.000+05:30","BAG",false,"2023-11-27T09:08:10.000+05:30"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268090309","PH-ZO-DELYKB-30772204","OPENED","2023-11-28T09:46:45.000+05:30","NBU",false,"2023-11-28T09:46:45.000+05:30"
"Rohinihub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3266692938","PH-B5-DELYKB-30785573","OPENED","2023-11-27T08:39:23.000+05:30","BAG",false,"2023-11-27T08:39:23.000+05:30"
"AdarshNagarHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2029148671","PH-B5-DELYKB-30795962","OPENED","2023-11-28T11:44:46.000+05:30","BAG",false,"2023-11-28T11:44:46.000+05:30"
