"shipment_facility_current_name","tracking_id_ekart","shipment_status","bag_type_ph","bag_id","shipment_facility_source_name","bag_facility_source_name","fact_updated_at","bag_facility_source_name_1"
"MotherHub_YKB","FMPP2026952097","sorted","ZO","PH-ZO-DELYKB-30762767","MotherHub_YKB","KanjhawalaHub_DEL_PL","2023-11-27T10:34:22.000+05:30","KanjhawalaHub_DEL_PL"
"MotherHub_YKB","FMPC3259405030","sorted","ZO","PH-ZO-DELYKB-30675642","MotherHub_YKB","PaharganjHub_DEL_PL","2023-11-23T09:40:32.000+05:30","PaharganjHub_DEL_PL"
"MotherHub_YKB","FMPC3266096944","sorted","ZO","PH-ZO-DELYKB-30774208","MotherHub_YKB","JasolaHub_DEL_PL","2023-11-26T08:12:58.000+05:30","JasolaHub_DEL_PL"
"MotherHub_YKB","FMPC3226006194","sorted","ZO","PH-ZO-DELYKB-30277439","MotherHub_YKB","Britania_DEL_PL","2023-11-27T15:16:55.000+05:30","Britania_DEL_PL"
"MotherHub_YKB","FMPC3266933449","sorted","B5","PH-B5-DELYKB-30793594","MotherHub_YKB","SonepatHub_SOP_PL","2023-11-27T15:15:48.000+05:30","SonepatHub_SOP_PL"
"MotherHub_YKB","FMPP2026339133","sorted","B3","PH-B3-DELYKBF-4851137","MotherHub_YKB_Flex","CABTJalandharOPH_JLR_PL","2023-11-27T13:23:19.000+05:30","CABTJalandharOPH_JLR_PL"
"MotherHub_YKB","FMPC3267559181","sorted","ZO","PH-ZO-DELYKB-30795395","MotherHub_YKB","GwaliorHub_GWL_PL","2023-11-27T12:30:11.000+05:30","GwaliorHub_GWL_PL"
"MotherHub_YKB","FMPC3267845133","sorted","ZO","PH-ZO-DELYKB-30057848","MotherHub_YKB","Phase3NoidaHub_DEL_PL","2023-11-27T10:08:44.000+05:30","Phase3NoidaHub_DEL_PL"
"MotherHub_YKB","FMPC3267976677","sorted","B5","PH-B5-DELYKB-30733513","MotherHub_YKB","Rohinihub_DEL_PL","2023-11-27T09:07:36.000+05:30","Rohinihub_DEL_PL"
"MotherHub_YKB","FMPP2014745683","sorted","ZO","PH-ZO-DELYKB-30537719","MotherHub_YKB","CanttHissarHub_HSS_PL","2023-11-18T13:29:11.000+05:30","CanttHissarHub_HSS_PL"
"MotherHub_YKB","FMPC3246248527","sorted","B5","PH-B5-DELYKB-30530288","MotherHub_YKB","NarelaHub_DEL_PL","2023-11-27T14:58:28.000+05:30","NarelaHub_DEL_PL"
"MotherHub_YKB","FMPC3258863650","sorted","ZO","PH-ZO-DELYKB-30695240","MotherHub_YKB","BijwasanHub_DEL_PL","2023-11-23T07:55:00.000+05:30","BijwasanHub_DEL_PL"
"MotherHub_YKB","FMPP2011109467","sorted","ZO","PH-ZO-DELYKB-30447727","MotherHub_YKB","Jhilmil_DEL_PL","2023-11-23T21:37:29.000+05:30","Jhilmil_DEL_PL"
"MotherHub_YKB","FMPC3247513614","sorted","","EMUMSAI4-3729265","MotherHub_YKB","PanchavatiHub_NSK","2023-11-27T15:34:28.000+05:30","PanchavatiHub_NSK"
"MotherHub_YKB","FMPC3267597549","sorted","B5","PH-B5-DELYKB-30789655","MotherHub_YKB","Chhatarpur_DEL_PL","2023-11-27T09:03:01.000+05:30","Chhatarpur_DEL_PL"
"MotherHub_YKB","FMPC3110153279","sorted","","EDELGDM-1341402","fkl_DELFlexYakubpur","MotherHub_DEL","2023-11-23T12:46:56.000+05:30","MotherHub_DEL"
"MotherHub_YKB","SDLC1026284994","sorted","B6","PH-B6-DELDIC-2215127","Motherhub_DIC","DehradunHub_DED_PL","2023-11-25T05:09:10.000+05:30","DehradunHub_DED_PL"
"MotherHub_YKB","MYEP1007241211","sorted","ZO","PH-ZO-DELYKB-30294648","MotherHub_YKB","BilaspurHub_DRH_PL","2023-11-23T01:04:49.000+05:30","BilaspurHub_DRH_PL"
"MotherHub_YKB","FMPC3249443292","sorted","B5","PH-B5-DELYKB-30570948","MotherHub_YKB","WelcomeHub_DEL_PL","2023-11-19T19:36:43.000+05:30","WelcomeHub_DEL_PL"
"MotherHub_YKB","FMPP2026806091","sorted","ZO","PH-ZO-DELYKB-30521298","MotherHub_YKB","BilaspurHub_DRH_PL","2023-11-27T12:30:07.000+05:30","BilaspurHub_DRH_PL"
"MotherHub_YKB","FMPC3266253633","sorted","ZO","PH-ZO-DELYKB-30691457","MotherHub_YKB","FaridabadHub_DEL_PL","2023-11-26T03:07:15.000+05:30","FaridabadHub_DEL_PL"
"MotherHub_YKB","FMPC3265307625","sorted","ZO","PH-ZO-DELYKB-30648307","MotherHub_YKB","IPextension_DEL_PL","2023-11-26T05:37:31.000+05:30","IPextension_DEL_PL"
"MotherHub_YKB","FMPP2017747745","sorted","","ENAGBTS-2485643","MotherHub_YKB","KathoraHub_KTR","2023-11-27T07:29:15.000+05:30","KathoraHub_KTR"
"MotherHub_YKB","FMPP2016846322","sorted","ZO","PH-ZO-DELYKB-30563227","MotherHub_YKB","KanjhawalaHub_DEL_PL","2023-11-20T08:25:20.000+05:30","KanjhawalaHub_DEL_PL"
"MotherHub_YKB","FMPP2013427408","sorted","B3","PH-B3-DELYKBF-4795992","MotherHub_YKB_Flex","NarnaulHub_NNL_PL","2023-11-27T16:21:03.000+05:30","NarnaulHub_NNL_PL"
"MotherHub_YKB","FMPC3243461295","sorted","B5","PH-B5-DELYKB-30483957","MotherHub_YKB","PaharganjHub_DEL_PL","2023-11-22T08:53:45.000+05:30","PaharganjHub_DEL_PL"
"MotherHub_YKB","FMPP2027412882","sorted","ZO","PH-ZO-DELYKB-30778952","MotherHub_YKB","RoorkeeHub_HRD_PL","2023-11-27T16:34:00.000+05:30","RoorkeeHub_HRD_PL"
"MotherHub_YKB","FMPP2026265628","sorted","B3","PH-B3-DELYKBF-4841866","MotherHub_YKB_Flex","SaharanpurHub_SHP_PL","2023-11-27T13:23:15.000+05:30","SaharanpurHub_SHP_PL"
"MotherHub_YKB","FMPC3265777348","sorted","B5","PH-B5-DELYKB-30778602","MotherHub_YKB","GwaliorHub_GWL_PL","2023-11-26T15:59:48.000+05:30","GwaliorHub_GWL_PL"
"MotherHub_YKB","FMPC3267281279","sorted","ZO","PH-ZO-DELYKB-30677073","MotherHub_YKB","Phase3NoidaHub_DEL_PL","2023-11-27T17:09:21.000+05:30","Phase3NoidaHub_DEL_PL"
"MotherHub_YKB","FMPC3266019485","sorted","","EJAIBBI-1455376","MotherHub_YKB","MotherHub_YKB","2023-11-27T15:18:35.000+05:30","MotherHub_YKB"
"MotherHub_YKB","FMPC3266560438","sorted","ZO","PH-ZO-DELYKB-30786660","MotherHub_YKB","VasundharaHub_DEL_PL","2023-11-27T05:01:32.000+05:30","VasundharaHub_DEL_PL"
"MotherHub_YKB","FMPP2018278280","sorted","","EINDIND-661255911","MotherHub_YKB","KalaninagarHub_IDR","2023-11-26T07:20:53.000+05:30","KalaninagarHub_IDR"
"MotherHub_YKB","FMPP2027255054","sorted","B5","PH-B5-DELYKB-30684531","MotherHub_YKB","BudhViharHub_DEL_PL","2023-11-27T09:03:04.000+05:30","BudhViharHub_DEL_PL"
"MotherHub_YKB","FMPC3225998189","sorted","ZO","PH-ZO-DELYKB-30277439","MotherHub_YKB","Britania_DEL_PL","2023-11-27T15:16:55.000+05:30","Britania_DEL_PL"
"MotherHub_YKB","FMPC3264761071","sorted","","EMAATPN-660910151","Motherhub_GGN","Motherhub_GGN","2023-11-27T08:09:07.000+05:30","Motherhub_GGN"
"MotherHub_YKB","FMPC3260545275","sorted","ZO","PH-ZO-DELYKB-30671361","MotherHub_YKB","CABTJalandharOPH_JLR_PL","2023-11-25T19:01:50.000+05:30","CABTJalandharOPH_JLR_PL"
"MotherHub_YKB","FMPC3257483750","sorted","ZO","PH-ZO-DELYKB-30675945","MotherHub_YKB","BurariHub_DEL_PL","2023-11-23T08:47:52.000+05:30","BurariHub_DEL_PL"
"MotherHub_YKB","FMPP2013566707","sorted","ZO","PH-ZO-DELYKB-30521530","MotherHub_YKB","PanipatHub_PPT_PL","2023-11-18T22:15:50.000+05:30","PanipatHub_PPT_PL"
"MotherHub_YKB","FMPC3230031504","sorted","ZO","PH-ZO-DELYKB-30158179","MotherHub_YKB","Ramaroadhub_DEL_PL","2023-11-27T21:33:16.000+05:30","Ramaroadhub_DEL_PL"
"MotherHub_YKB","FMPP2026880209","sorted","B5","PH-B5-DELYKB-30798233","MotherHub_YKB","BallabhgarhHub_Del_PL","2023-11-27T09:07:18.000+05:30","BallabhgarhHub_Del_PL"
"MotherHub_YKB","FMPC3258632842","sorted","ZO","PH-ZO-DELYKB-30694370","MotherHub_YKB","UttamNagarHub_DEL_PL","2023-11-23T01:40:59.000+05:30","UttamNagarHub_DEL_PL"
"MotherHub_YKB","FMPC3258979227","sorted","B5","PH-B5-DELYKB-30659500","MotherHub_YKB","AdarshNagarHub_DEL_PL","2023-11-24T03:08:25.000+05:30","AdarshNagarHub_DEL_PL"
"MotherHub_YKB","FMPC3267949473","sorted","ZO","PH-ZO-DELYKB-30793998","MotherHub_YKB","NehruPlaceHub_DEL_PL","2023-11-27T09:39:26.000+05:30","NehruPlaceHub_DEL_PL"
"MotherHub_YKB","FMPC3267388329","sorted","ZO","PH-ZO-DELYKB-30788576","MotherHub_YKB","Rohinihub_DEL_PL","2023-11-27T08:43:08.000+05:30","Rohinihub_DEL_PL"
"MotherHub_YKB","FMPC3263482830","sorted","ZO","PH-ZO-DELYKB-30707766","MotherHub_YKB","MundkaHub_DEL_PL","2023-11-25T22:39:10.000+05:30","MundkaHub_DEL_PL"
"MotherHub_YKB","FMPC3261311447","sorted","ZO","PH-ZO-DELYKB-30535101","MotherHub_YKB","Jhilmil_DEL_PL","2023-11-24T09:22:30.000+05:30","Jhilmil_DEL_PL"
"MotherHub_YKB","FMPC3251416357","sorted","ZO","PH-ZO-DELYKB-30560268","MotherHub_YKB","BahadurgarhHub_BHD_PL","2023-11-20T00:23:41.000+05:30","BahadurgarhHub_BHD_PL"
